slug,url,canonical_id,detail_present,up_kp_rating,up_imdb_rating,up_kp_id,up_imdb_id,up_poster,up_source_id,up_provider,up_description,proj_kp,proj_imdb,proj_description,proj_poster,proj_source_id,proj_playable,card_kp,card_imdb,title_kp,title_imdb,title_description_len,title_source_id,reason_kp,reason_imdb,reason_description,reason_poster,reason_source_id
vospominaniya-pokoynika,/title/vospominaniya-pokoynika/,01a09f5e-af2a-7a39-bde1-23c6049fae19,False,,,5026307,20566308,True,5026307,kp,False,,,False,True,5026307,True,,,,,34,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
vysokogore,/title/vysokogore/,0191878d-0a69-7d81-a89f-9b7a88d31d4e,False,,,5461584,27458866,True,5461584,kp,False,,,False,True,5461584,True,,,,,24,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
zhavoronok-vzyvaet-k-nebu,/title/zhavoronok-vzyvaet-k-nebu/,01a09eba-42c2-7a22-9027-1fddb5b5ff1b,False,,,,,True,761793,mdl,False,,,False,True,761793,True,,,,,37,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
berezhno-otnositsya-k-zhenschine,/title/berezhno-otnositsya-k-zhenschine/,01a09ea5-abb3-7a1f-81ee-c46d109417d4,False,,,,,True,792972,mdl,False,,,False,True,792972,True,,,,,41,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
vo-vseoruzhii-sila-artefaktov,/title/vo-vseoruzhii-sila-artefaktov/,01a09eec-835b-7a2a-8028-2bd949c3f8f4,False,,,,,True,64340,mali,False,,,False,True,64340,True,,,,,42,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
podpolnyy-mir,/title/podpolnyy-mir/,01a09ea8-b959-7a21-b2e8-0d928b1a7e34,False,,,,,True,812386,mdl,False,,,False,True,812386,True,,,,,27,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
ispoved-shamana,/title/ispoved-shamana/,01a09c73-5f8e-7908-b4da-3afe988500b7,False,,,,44632295,True,788130,mdl,False,,,False,True,788130,True,,,,,27,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
operaciya-vozmezdie-2,/title/operaciya-vozmezdie-2/,01a09bc4-7b07-7901-9e89-77cc84a2c62b,False,,,5146946,9601292,True,5146946,kp,False,,,False,True,5146946,True,,,,,32,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
ne-sbezhat-ot-zhguchey-lyubvi,/title/ne-sbezhat-ot-zhguchey-lyubvi/,01a09a27-f25a-78ef-a686-85a4e6455b85,False,,,,,True,787714,mdl,False,,,False,True,787714,True,,,,,39,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
zakatnaya-lyubov,/title/zakatnaya-lyubov/,01a09a26-99ba-78ef-9799-637001d0a5c0,False,,,,,True,783722,mdl,False,,,False,True,783722,True,,,,,28,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
lyubov-tenti-lishniy,/title/lyubov-tenti-lishniy/,01925c2d-6018-7e0d-abf2-75d382dfa40b,True,,,,,True,24699,mali,True,,,True,True,24699,True,,,,,34,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,SERVING_DROP,OK,SERVING_DROP
dni-sakamoto-chast-2,/title/dni-sakamoto-chast-2/,01a09bba-5f87-7901-b838-5bfe4f989e95,False,7.363,7.5,4870795,17069148,True,4870795,kp,False,7.363,7.5,False,True,4870795,True,,,,,34,,SERVING_DROP,SERVING_DROP,UPSTREAM_ABSENT,OK,SERVING_DROP
vospominaniya-pokoynika,/title/vospominaniya-pokoynika/,01a09f5e-af2a-7a39-bde1-23c6049fae19,False,,,5026307,20566308,True,5026307,kp,False,,,False,True,5026307,True,,,,,34,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
ispoved-shamana,/title/ispoved-shamana/,01a09c73-5f8e-7908-b4da-3afe988500b7,False,,,,44632295,True,788130,mdl,False,,,False,True,788130,True,,,,,27,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
operaciya-vozmezdie-2,/title/operaciya-vozmezdie-2/,01a09bc4-7b07-7901-9e89-77cc84a2c62b,False,,,5146946,9601292,True,5146946,kp,False,,,False,True,5146946,True,,,,,32,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
shiku-bentu-i-chudesnoe-derevo-guavy,/title/shiku-bentu-i-chudesnoe-derevo-guavy/,01a09b14-575c-78fe-b23a-62664150803e,False,,7.3,10597344,30868610,True,10597344,kp,False,,7.3,False,True,10597344,True,,,,,46,,UPSTREAM_ABSENT,SERVING_DROP,UPSTREAM_ABSENT,OK,SERVING_DROP
chas-rasplaty-2,/title/chas-rasplaty-2/,019b303b-6537-7224-b044-9da54223bf25,True,7.042,6.3,8085,338337,True,8085,kp,True,7.042,6.3,True,True,8085,True,7.042,6.3,Кинопоиск 7.042,6.3,180,,OK,OK,OK,OK,SERVING_DROP
tayna-zakoldovannogo-zamka,/title/tayna-zakoldovannogo-zamka/,01a09ae0-dd3f-78fe-b176-21665ba2cd7f,False,,,14087323,37604653,True,14087323,kp,False,,,False,True,14087323,True,,,,,38,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
monashki-v-bikini,/title/monashki-v-bikini/,01a09adf-d055-78fe-85f4-712eaa89be3c,False,,,,33056211,True,,,False,,,False,True,,False,,,,,28,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,UPSTREAM_ABSENT
zlaya-monahinya,/title/zlaya-monahinya/,01a09adf-0a0b-78fe-9c71-2548a5596172,False,,,,38265135,True,,,False,,,False,True,,False,,,,,25,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,UPSTREAM_ABSENT
klub-ohotnikov,/title/klub-ohotnikov/,01a09ad3-d076-78fe-bbcc-e62016ca3708,False,,,,39015008,True,,,False,,,False,True,,False,,,,,26,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,UPSTREAM_ABSENT
za-maskoy,/title/za-maskoy/,01a09ad6-8a87-78fe-b45c-f78f551c9a65,False,,,,31720963,True,,,False,,,False,True,,False,,,,,21,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,UPSTREAM_ABSENT
pohititeli-dush,/title/pohititeli-dush/,01a09ac3-e628-78fa-8716-5c92ee57b6b4,False,,,,37809947,True,,,False,,,False,True,,False,,,,,26,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,UPSTREAM_ABSENT
dvoynaya-zhizn-nyani,/title/dvoynaya-zhizn-nyani/,01a09acd-45ee-78fa-9989-8ebdea496004,False,,,,43711245,True,,,False,,,False,True,,False,,,,,30,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,UPSTREAM_ABSENT
vysokogore,/title/vysokogore/,0191878d-0a69-7d81-a89f-9b7a88d31d4e,False,,,5461584,27458866,True,5461584,kp,False,,,False,True,5461584,True,,,,,24,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
zhavoronok-vzyvaet-k-nebu,/title/zhavoronok-vzyvaet-k-nebu/,01a09eba-42c2-7a22-9027-1fddb5b5ff1b,False,,,,,True,761793,mdl,False,,,False,True,761793,True,,,,,37,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
berezhno-otnositsya-k-zhenschine,/title/berezhno-otnositsya-k-zhenschine/,01a09ea5-abb3-7a1f-81ee-c46d109417d4,False,,,,,True,792972,mdl,False,,,False,True,792972,True,,,,,41,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
vo-vseoruzhii-sila-artefaktov,/title/vo-vseoruzhii-sila-artefaktov/,01a09eec-835b-7a2a-8028-2bd949c3f8f4,False,,,,,True,64340,mali,False,,,False,True,64340,True,,,,,42,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
podpolnyy-mir,/title/podpolnyy-mir/,01a09ea8-b959-7a21-b2e8-0d928b1a7e34,False,,,,,True,812386,mdl,False,,,False,True,812386,True,,,,,27,,UPSTREAM_ABSENT,UPSTREAM_ABSENT,UPSTREAM_ABSENT,OK,SERVING_DROP
